COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,1.461
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,1.755
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-3.3
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-1.248
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-0.537
Sri Lanka,Unemployment rate,Annual,Units,2013,4.4
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,4.052
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2013,28.91
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2013,40.356
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2013,30.892
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,1.061
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2013,33.702
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2013,35.782
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-2.584
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.777
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,1.329
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2013,12.088
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-3.576
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,3.005
France,Unemployment rate,Annual,Units,2013,10.308
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,0.915
France,"Gross debt, General government, Percent of GDP",Annual,Units,2013,94.546
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-2.733
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-0.609
France,"Expenditure, General government, Percent of GDP",Annual,Units,2013,58.589
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,1.607
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,6.708
Germany,Unemployment rate,Annual,Units,2013,4.95
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,0.386
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-1.737
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,6.386
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,9.383
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,-1.818
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,1.245
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,1.03
Italy,Unemployment rate,Annual,Units,2013,12.367
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-6.48
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,0.882
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,0.332
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,2.005
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2013,38.778
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2013,229.451
Japan,Unemployment rate,Annual,Units,2013,4.008
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,5.747
South Africa,Unemployment rate,Annual,Units,2013,24.725
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-5.326
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,2.485
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,7.493
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,8.486
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-5.149
"Türkiye, Republic of",Unemployment rate,Annual,Units,2013,8.9
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-4.644
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2013,41.84
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-3.944
United Kingdom,Unemployment rate,Annual,Units,2013,7.575
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,1.8
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,2.565
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,2.118
United States,Unemployment rate,Annual,Units,2013,7.358
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,1.466
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-2.011
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,0.989
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,7.771
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2013,85.316
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-2.439
India,"Gross debt, General government, Percent of GDP",Annual,Units,2013,67.713
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-0.227
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.204
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2014,24.739
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2014,69.561
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,7.823
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2014,15.136
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2014,17.171
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,6.061
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2014,28.683
Bangladesh,Unemployment rate,Annual,Units,2014,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-0.879
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,2.784
Brazil,Unemployment rate,Annual,Units,2014,6.9
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-0.9
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2014,61.617
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2014,41.426
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,1.995
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,2.206
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,8.2
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2014,39.308
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-0.126
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2014,28.412
"China, People's Republic of",Unemployment rate,Annual,Units,2014,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2014,104.429
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,1.96
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2014,44.498
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2014,74.52
India,"Expenditure, General government, Percent of GDP",Annual,Units,2014,26.22
India,Unemployment rate,Annual,Units,2014,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,1.56
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2014,134.755
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2014,50.715
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,-4.186
Myanmar,Unemployment rate,Annual,Units,2014,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,5.739
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2014,37.308
Russian Federation,Unemployment rate,Annual,Units,2014,5.158
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-0.677
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2014,34.938
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,2.807
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,0.736
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,-2.409
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-1.159
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-1.942
Sri Lanka,Unemployment rate,Annual,Units,2014,4.3
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,6.378
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2014,29.321
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2014,43.253
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2014,28.277
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,0.992
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2014,32.62
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2014,35.324
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-2.056
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,7.349
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,0.679
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2014,11.748
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,-4.499
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,0.504
France,Unemployment rate,Annual,Units,2014,10.267
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,1.02
France,"Gross debt, General government, Percent of GDP",Annual,Units,2014,96.14
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2014,-2.468
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,-0.913
France,"Expenditure, General government, Percent of GDP",Annual,Units,2014,58.392
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,0.769
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,7.233
Germany,Unemployment rate,Annual,Units,2014,4.708
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,2.172
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2014,-1.314
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2014,7.41
